Serial No,Event Date,Abstract Text,Nature of Injury
614,03/03/2017,"At 3:35 p.m. on March 3, 2017, an employee and a coworker were cleaning and sanitizing wine making equipment. This work took place in a warehouse that was modified for the purpose of a wine cellar, which measured approximately 64 feet wide by 144 feet long.  Inside the wine cellar, the right side is used as an area to store racks of wooden wine barrels. The left side is used as an area where nine cylindrical large wine tanks are placed. These tanks have a capacity of more than 1,000 gallons each and range from a height of 8 feet to 10 feet tall. While the coworker was located in the sanitation area located at the far end left corner of the warehouse, sanitizing a pump, the employee was standing on top of one of the nine wine tanks, which he accessed by way of a 6 foot tall stepladder, to rinse its insides out. As the employee stepped from the tank to the stepladder, his foot slipped and he fell backwards. The employee struck the warehouse floor, sustaining fractures to his back, neck and elbow.  Emergency services were contacted and, upon arrival, the employee was taken to a nearby medical facility where he was hospitalized for sixteen days and received treatment. ","Fracture, Broken Bones"
615,03/03/2017,"At about 1:15 p.m. on March 3, 2017, an employee and a foreman were attempting to move a truss. There was a steel truss located at the north side of the building, resting on steel beams located 17 feet 2 inches above concrete.  The truss needed to be installed on the south side of the building so the employee and the foreman were in the process of moving the truss from one point to another.  The employees utilized a come-along to slide the truss along the top of the beams to a point within reach of the crane, so it could then be hoisted into position.  The foreman and the employee climbed to the top of the beams to continue moving the truss.  The employee was wearing a body harness but did not connect it to the structure. The employee fell 17 feet 2 inches to the concrete floor.  Hef landed on his right side at initial impact and his head subsequently hit the floor. The employee sustained injuries including, but not limited to, fractures to the right arm and right leg, as well as facial injuries including broken teeth and a broken nose.  The employee also sustained undefined injuries to his right shoulder, pelvis, right foot, right hip and gastrointestinal system. The employee was hospitalized and treated for his injuries. ",Laceration
616,03/03/2017,"At 1:00 p.m. on March 3, 2017, an employee was assisting his employer to transfer furniture from one truck to another. As the employer was repositioning the truck intended to receive the furniture, the employee jumped from the back of the initial truck to the one under operation by the employer. The employee was crushed between the two trucks, sustaining a fractured hip, which he was hospitalized and received treatment. ","Fracture, Broken Bones"
617,03/02/2017,"At approximately 12:18 p.m. on March 2, 2017, Employee #1, a Process Control Technician employed by a die casting company, was working at a 1200 Ton Lester Die Casting Machine #14.  He was making adjustments to the machine in preparation for a die casting run.  During the adjustment of the fast shot end of the machine, the fast shot adjustment screw became locked with the threaded bushing.  The fast shot adjustment screw unthreaded from the cover plate.  Due to hydraulic pressure, the fast shot adjustment screw, the threaded bushing, and pop-it rod shot out of the machine and struck Employee #1's face. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his jaw, eye socket bone, and skull. ","Fracture, Broken Bones"
618,03/02/2017,"At 11:45 a.m. on March 2, 2017, Employee #1, employed by a sign manufacturer, was working with a neon sign.  He was bombarding a piece of neon sign tubing with electricity.  The milliamp meter was not registering.  Employee #1 tapped it with his hand in an attempt to get the analog mechanical needle to unstick and indicate the amperage.  The meter faulted (shorted) and caused an electric arc flash of approximately 10,000 volts or 300 milliamps.  Employee #1 received an electric shock and fell to the ground.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the electric shock and abrasions from the fall. ","Bruising, Contusion"
619,03/02/2017,"At 11:00 a.m. on March 2, 2017, Employee #1, the owner of the company, backed the forklift onto a ramp that was connected to a trailer to inspect for leaks. While he was inspecting it, the forklift rolled forward, pinning him underneath the machine. Employee #1 sustained upper body injuries and was killed. ",Serious Fall/Strike
620,03/02/2017,"At 11:30 a.m. on March 2, 2017, Employee #1, employed by a tubular products manufacturer, was operating an unguarded Delta table saw.  He was sawing corrugated paperboard strips.  The paperboard caught on the saw blade, and Employee #1's right hand was pulled into the blade.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for amputation of his right hand's index and middle fingertips and then discharged. ","Amputation, Crushing"
621,03/02/2017,"At 9:00 a.m. on March 2, 2017, Employee #1, employed by a recycling center, was walking on a catwalk and approaching a mechanical sorting trommel and its outfeed conveyor belt.  He intended to adjust the conveyor belt tension. Employee #1 lost his footing and reached out to steady himself.  His left hand came into contact with the unguarded ingoing nip point between the trommel and a drive wheel.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures and partial amputation of three fingers. ","Amputation, Crushing"
622,03/02/2017,"At 9:00 a.m. on March 2, 2017, Employee #1, employed by a farm labor contractor, was working at a date tree farm.  He was standing on a 16 feet aluminum extension ladder and reaching to dethrone a date palm tree when he fell from the ladder, a fall height of approximately 20 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a spinal injury.  Employee #1 remained hospitalized for four days. ",Serious Fall/Strike
623,03/02/2017,"At 9:00 a.m. on March 2, 2017, an employee was walking in front of a co-worker. The employee got hit by a 12-foot fiber glass stepladder. He suffered head injuries for which he was hospitalized. ","Bruising, Contusion"
